"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
2643,"ESCF","medium_airport","Malmen Air Base",58.402302,15.5257,308,"EU","SE","SE-E","Linköping","no","ESCF",,,,"https://en.wikipedia.org/wiki/Malmen_Airbase",
2645,"ESCM","small_airport","Ärna Air Base",59.897301,17.5886,68,"EU","SE","SE-C","Uppsala","no","ESCM",,,,"https://en.wikipedia.org/wiki/%C3%84rna",
2646,"ESDF","medium_airport","Ronneby Airport",56.266701,15.265,191,"EU","SE","SE-K","Ronneby","yes","ESDF","RNB",,"https://www.swedavia.com/ronneby/","https://en.wikipedia.org/wiki/Ronneby_Airport",
2648,"ESGG","large_airport","Göteborg Landvetter Airport",57.6628,12.2798,506,"EU","SE","SE-Q","Göteborg","yes","ESGG","GOT",,"https://www.swedavia.com/landvetter/","https://en.wikipedia.org/wiki/G%C3%B6teborg_Landvetter_Airport","Göteborg-Landvetter, Gothenburg"
2649,"ESGJ","medium_airport","Jönköping Airport",57.757598876953125,14.068699836730957,741,"EU","SE","SE-F","Jönköping","yes","ESGJ","JKG",,"http://www.lfv.se/templates/LFV_AirportStartPage____1672.aspx","https://en.wikipedia.org/wiki/J%C3%B6nk%C3%B6ping_Airport",
2654,"ESGT","medium_airport","Trollhättan-Vänersborg Airport",58.31809997558594,12.345000267028809,137,"EU","SE","SE-Q","Trollhättan","yes","ESGT","THN",,,"https://en.wikipedia.org/wiki/Trollh%C3%A4ttan-V%C3%A4nersborg_Airport",
2655,"ESIA","small_airport","Karlsborg Air Base",58.513802,14.5071,308,"EU","SE","SE-Q","Karlsborg","no","ESIA",,,,"https://sv.wikipedia.org/wiki/Karlsborgs_flygplats",
2656,"ESIB","medium_airport","Såtenäs Air Base",58.426399,12.7144,181,"EU","SE","SE-Q","Såtenäs","no","ESIB",,,,"https://sv.wikipedia.org/wiki/Lidk%C3%B6ping-S%C3%A5ten%C3%A4s_flygplats",
2659,"ESKM","medium_airport","Mora Airport",60.957901,14.5114,634,"EU","SE","SE-W","Mora","yes","ESKM","MXX",,,"https://en.wikipedia.org/wiki/Mora-Siljan_Airport",
2660,"ESKN","medium_airport","Stockholm Skavsta Airport",58.788601,16.912201,140,"EU","SE","SE-D","Nyköping","yes","ESKN","NYO",,,"https://en.wikipedia.org/wiki/Stockholm-Skavsta_Airport",
316498,"ESKS","medium_airport","Scandinavian Mountains Airport",61.158393,12.842503,1608,"EU","SE","SE-W","Malung-Sälen","yes","ESKS","SCR",,"https://scandinavianmountains.se/en/home/","https://en.wikipedia.org/wiki/Scandinavian_Mountains_Airport","Sälens Flygplats, Trysil"
2664,"ESMK","medium_airport","Kristianstad Airport",55.9217,14.0855,76,"EU","SE","SE-M","Kristianstad","yes","ESMK","KID",,"https://kidairport.com","https://en.wikipedia.org/wiki/Kristianstad_Airport",
2668,"ESMQ","medium_airport","Kalmar Airport",56.685501,16.2876,17,"EU","SE","SE-H","Kalmar","yes","ESMQ","KLR",,,"https://en.wikipedia.org/wiki/Kalmar_Airport",
2669,"ESMS","medium_airport","Malmö Sturup Airport",55.535564,13.376327,236,"EU","SE","SE-M","Malmö","yes","ESMS","MMX",,"http://www.swedavia.com/malmo/","https://en.wikipedia.org/wiki/Malm%C3%B6_Airport",
2670,"ESMT","medium_airport","Halmstad Airport",56.69110107421875,12.820199966430664,101,"EU","SE","SE-N","Halmstad","yes","ESMT","HAD",,,"https://en.wikipedia.org/wiki/Halmstad_Airport",
2671,"ESMV","small_airport","Hagshult Air Base",57.292198,14.1372,556,"EU","SE","SE-F",,"no","ESMV",,,"http://www.flygklubb.se/medlem/index.cfm?klubb=001&user=999&password=demo","https://sv.wikipedia.org/wiki/Hagshult_flygbas",
2672,"ESMX","medium_airport","Växjö Kronoberg Airport",56.929100036621094,14.727999687194824,610,"EU","SE","SE-G","Växjö","yes","ESMX","VXO",,,"https://en.wikipedia.org/wiki/V%C3%A4xj%C3%B6_Airport",
2675,"ESND","small_airport","Sveg Airport",62.047798,14.4229,1178,"EU","SE","SE-Z","Sveg","yes","ESND","EVG",,,"https://en.wikipedia.org/wiki/Sveg_Airport",
2676,"ESNG","medium_airport","Gällivare Airport",67.13240051269531,20.814599990844727,1027,"EU","SE","SE-BD","Gällivare","yes","ESNG","GEV",,,"https://en.wikipedia.org/wiki/G%C3%A4llivare_Airport",
2678,"ESNJ","small_airport","Jokkmokk Airfield",66.496201,20.1472,904,"EU","SE","SE-BD",,"no","ESNJ",,,,"https://sv.wikipedia.org/wiki/Jokkmokks_flygbas",
2679,"ESNK","medium_airport","Kramfors-Sollefteå Höga Kusten Airport",63.048599,17.7689,34,"EU","SE","SE-Y","Nyland","yes","ESNK","KRF",,,"https://en.wikipedia.org/wiki/Kramfors_Airport",
2680,"ESNL","medium_airport","Lycksele Airport",64.548302,18.7162,705,"EU","SE","SE-AC","Lycksele","yes","ESNL","LYC",,,"https://en.wikipedia.org/wiki/Lycksele_Airport",
